season_year,season_slug,season_full_path,stage_name,game_name,has_game,has_team_scores,has_contest_scores,has_date,has_jury,has_host
1999,1l-1999,kvn/1l-kvn/1l-1999,1/2 финала,Вторая 1/2 финала,+,+,-,+,-,-
1999,1l-1999,kvn/1l-kvn/1l-1999,Финал,Финал,+,+,-,-,-,-
2000,1l-2000,kvn/1l-kvn/1l-2000,Финал,Финал,+,+,-,-,-,-
2001,1l-2001,kvn/1l-kvn/1l-2001,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2001,1l-2001,kvn/1l-kvn/1l-2001,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2001,1l-2001,kvn/1l-kvn/1l-2001,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2001,1l-2001,kvn/1l-kvn/1l-2001,1/4 финала,1/4 финала,+,+,-,-,-,-
2001,1l-2001,kvn/1l-kvn/1l-2001,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2001,1l-2001,kvn/1l-kvn/1l-2001,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2001,1l-2001,kvn/1l-kvn/1l-2001,1/2 финала,Третья 1/2 финала,+,+,-,-,-,-
2001,1l-2001,kvn/1l-kvn/1l-2001,Финал,Финал,+,+,-,-,-,-
2002,1l-2002,kvn/1l-kvn/1l-2002,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2002,1l-2002,kvn/1l-kvn/1l-2002,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2002,1l-2002,kvn/1l-kvn/1l-2002,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2002,1l-2002,kvn/1l-kvn/1l-2002,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2002,1l-2002,kvn/1l-kvn/1l-2002,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2002,1l-2002,kvn/1l-kvn/1l-2002,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2002,1l-2002,kvn/1l-kvn/1l-2002,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2002,1l-2002,kvn/1l-kvn/1l-2002,Финал,Финал,+,+,-,-,-,-
2003,1l-2003,kvn/1l-kvn/1l-2003,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2003,1l-2003,kvn/1l-kvn/1l-2003,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2003,1l-2003,kvn/1l-kvn/1l-2003,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2003,1l-2003,kvn/1l-kvn/1l-2003,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2003,1l-2003,kvn/1l-kvn/1l-2003,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2003,1l-2003,kvn/1l-kvn/1l-2003,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2003,1l-2003,kvn/1l-kvn/1l-2003,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2003,1l-2003,kvn/1l-kvn/1l-2003,Финал,Финал,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2004,1l-2004,kvn/1l-kvn/1l-2004,Финал,Финал,+,+,-,-,-,-
2005,1l-2005,kvn/1l-kvn/1l-2005,1/8 финала,,-,-,-,-,-,-
2005,1l-2005,kvn/1l-kvn/1l-2005,1/4 финала,,-,-,-,-,-,-
2005,1l-2005,kvn/1l-kvn/1l-2005,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2005,1l-2005,kvn/1l-kvn/1l-2005,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2005,1l-2005,kvn/1l-kvn/1l-2005,Финал,Финал,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2007,1l-2007,kvn/1l-kvn/1l-2007,Финал,Финал,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2008,1l-2008,kvn/1l-kvn/1l-2008,Финал,Финал,+,+,-,-,-,-
2009,1l-2009,kvn/1l-kvn/1l-2009,1/8 финала,Игра 1,+,+,-,-,-,-
2009,1l-2009,kvn/1l-kvn/1l-2009,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2009,1l-2009,kvn/1l-kvn/1l-2009,1/4 финала,Вторая 1/4 финала,+,-,-,-,-,-
2009,1l-2009,kvn/1l-kvn/1l-2009,1/4 финала,Третья 1/4 финала,+,-,-,-,-,-
2009,1l-2009,kvn/1l-kvn/1l-2009,1/2 финала,Первая 1/2 финала,+,-,-,-,-,-
2009,1l-2009,kvn/1l-kvn/1l-2009,1/2 финала,Вторая 1/2 финала,+,-,-,-,-,-
2009,1l-2009,kvn/1l-kvn/1l-2009,Финал,Финал,+,+,+,+,+,+
2010,1l-2010,kvn/1l-kvn/1l-2010,1/8 финала,Первая 1/8 финала,+,+,+,-,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,1/8 финала,Вторая 1/8 финала,+,+,+,-,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,1/8 финала,Третья 1/8 финала,+,+,+,-,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,1/8 финала,Четвертая 1/8 финала,+,+,+,-,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,1/4 финала,Первая 1/4 финала,+,+,+,-,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,1/4 финала,Вторая 1/4 финала,+,+,+,-,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,1/4 финала,Третья 1/4 финала,+,+,+,-,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,1/2 финала,Вторая 1/2 финала,+,+,+,+,-,-
2010,1l-2010,kvn/1l-kvn/1l-2010,Финал,Финал,+,+,+,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2011,1l-2011,kvn/1l-kvn/1l-2011,Финал,Финал,+,+,-,-,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,1/8 финала,Первая 1/8 финала,+,+,+,+,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,1/8 финала,Вторая 1/8 финала,+,+,+,-,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,1/4 финала,Первая 1/4 финала,+,+,+,-,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,1/4 финала,Третья 1/4 финала,+,+,+,-,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,1/2 финала,Первая 1/2 финала,+,+,+,-,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,1/2 финала,Вторая 1/2 финала,+,+,+,-,-,-
2012,1l-2012,kvn/1l-kvn/1l-2012,Финал,Финал,+,+,+,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2013,1l-2013,kvn/1l-kvn/1l-2013,Финал,Финал,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/8 финала,Четвертая 1/8 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2014,1l-2014,kvn/1l-kvn/1l-2014,Финал,Финал,+,+,-,-,-,-
2015,1l-2015,kvn/1l-kvn/1l-2015,1/8 финала,Первая 1/8 финала,+,+,+,-,+,+
2015,1l-2015,kvn/1l-kvn/1l-2015,1/8 финала,Вторая 1/8 финала,+,+,+,-,+,+
2015,1l-2015,kvn/1l-kvn/1l-2015,1/8 финала,Третья 1/8 финала,+,+,+,-,+,+
2015,1l-2015,kvn/1l-kvn/1l-2015,1/8 финала,Четвертая 1/8 финала,+,+,+,-,+,+
2015,1l-2015,kvn/1l-kvn/1l-2015,1/4 финала,Первая 1/4 финала,+,+,+,-,+,+
2015,1l-2015,kvn/1l-kvn/1l-2015,1/4 финала,Вторая 1/4 финала,+,+,+,-,+,+
2015,1l-2015,kvn/1l-kvn/1l-2015,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2015,1l-2015,kvn/1l-kvn/1l-2015,1/2 финала,Первая 1/2 финала,+,+,+,-,+,+
2015,1l-2015,kvn/1l-kvn/1l-2015,1/2 финала,Вторая 1/2 финала,+,+,+,-,+,+
2015,1l-2015,kvn/1l-kvn/1l-2015,Финал,Финал,+,+,+,-,+,+
2016,1l-2016,kvn/1l-kvn/1l-2016,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,1/8 финала,Четвертая 1/8 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2016,1l-2016,kvn/1l-kvn/1l-2016,Финал,Финал,+,+,+,-,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/8 финала,Первая 1/8 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/8 финала,Вторая 1/8 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/8 финала,Третья 1/8 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/8 финала,Четвертая 1/8 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/4 финала,Первая 1/4 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/4 финала,Вторая 1/4 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/4 финала,Третья 1/4 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/4 финала,Четвертая 1/4 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/2 финала,Первая 1/2 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/2 финала,Вторая 1/2 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/2 финала,Третья 1/2 финала,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,1/2 финала,Кубок первой лиги,+,+,-,+,-,-
2017,1l-2017,kvn/1l-kvn/1l-2017,Финал,Финал,+,+,+,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/8 финала,Четвертая 1/8 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2018,1l-2018,kvn/1l-kvn/1l-2018,Финал,Финал,+,+,+,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/8 финала,Четвертая 1/8 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2019,1l-2019,kvn/1l-kvn/1l-2019,Финал,Финал,+,+,+,-,-,-
2020,1l-2020,kvn/1l-kvn/1l-2020,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
2020,1l-2020,kvn/1l-kvn/1l-2020,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
2020,1l-2020,kvn/1l-kvn/1l-2020,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
2020,1l-2020,kvn/1l-kvn/1l-2020,1/4 финала,Четвертая 1/4 финала,+,+,-,-,-,-
2020,1l-2020,kvn/1l-kvn/1l-2020,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
2020,1l-2020,kvn/1l-kvn/1l-2020,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
2020,1l-2020,kvn/1l-kvn/1l-2020,1/2 финала,Третья 1/2 финала,+,+,-,-,-,-
2020,1l-2020,kvn/1l-kvn/1l-2020,Финал,Финал 1,+,+,+,-,-,+
2020,1l-2020,kvn/1l-kvn/1l-2020,Финал,Финал 2,+,+,+,-,-,+
2021,1l-2021,kvn/1l-kvn/1l-2021,1/8 финала,Первая 1/8 финала,+,+,-,+,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,1/8 финала,Вторая 1/8 финала,+,+,-,+,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,1/8 финала,Третья 1/8 финала,+,+,-,+,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,1/8 финала,Четвертая 1/8 финала,+,+,-,-,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,1/4 финала,Первая 1/4 финала,+,+,-,+,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,1/4 финала,Вторая 1/4 финала,+,+,-,+,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,1/4 финала,Третья 1/4 финала,+,+,-,+,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,1/2 финала,Первая 1/2 финала,+,+,-,+,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,1/2 финала,Вторая 1/2 финала,+,+,-,+,-,-
2021,1l-2021,kvn/1l-kvn/1l-2021,Финал,Финал,+,+,+,+,-,-
2022,1l-2022,kvn/1l-kvn/1l-2022,1/8 финала,Первая 1/8 финала,+,+,+,+,+,+
2022,1l-2022,kvn/1l-kvn/1l-2022,1/8 финала,Вторая 1/8 финала,+,+,+,+,+,+
2022,1l-2022,kvn/1l-kvn/1l-2022,1/8 финала,Третья 1/8 финала,+,+,+,-,+,+
2022,1l-2022,kvn/1l-kvn/1l-2022,1/8 финала,Четвертая 1/8 финала,+,+,+,-,+,+
2022,1l-2022,kvn/1l-kvn/1l-2022,1/4 финала,Первая 1/4 финала,+,+,+,+,+,+
2022,1l-2022,kvn/1l-kvn/1l-2022,1/4 финала,Вторая 1/4 финала,+,+,+,+,+,+
2022,1l-2022,kvn/1l-kvn/1l-2022,1/4 финала,Третья 1/4 финала,+,+,+,+,+,+
2022,1l-2022,kvn/1l-kvn/1l-2022,1/2 финала,Первая 1/2 финала,+,+,+,+,-,+
2022,1l-2022,kvn/1l-kvn/1l-2022,1/2 финала,Вторая 1/2 финала,+,+,+,+,-,+
2022,1l-2022,kvn/1l-kvn/1l-2022,Финал,Финал,+,+,+,-,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,1/8 финала,Первая 1/8 финала,+,+,+,+,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,1/8 финала,Вторая 1/8 финала,+,+,+,+,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,1/8 финала,Третья 1/8 финала,+,+,+,+,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,1/4 финала,Первая 1/4 финала,+,+,+,+,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,1/4 финала,Вторая 1/4 финала,+,+,+,+,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,1/4 финала,Третья 1/4 финала,+,+,+,+,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,1/2 финала,Первая 1/2 финала,+,+,+,+,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,1/2 финала,Вторая 1/2 финала,+,+,+,+,+,+
2023,1l-2023,kvn/1l-kvn/1l-2023,Финал,Финал,+,+,+,+,+,-
2024,1l-2024,kvn/1l-kvn/1l-2024,1/8 финала,Первая 1/8 финала,+,+,+,+,+,+
2024,1l-2024,kvn/1l-kvn/1l-2024,1/8 финала,Вторая 1/8 финала,+,+,+,+,+,+
2024,1l-2024,kvn/1l-kvn/1l-2024,1/8 финала,Третья 1/8 финала,+,+,+,+,+,+
2024,1l-2024,kvn/1l-kvn/1l-2024,1/4 финала,Первая 1/4 финала,+,+,+,+,+,+
2024,1l-2024,kvn/1l-kvn/1l-2024,1/4 финала,Вторая 1/4 финала,+,+,+,+,+,+
2024,1l-2024,kvn/1l-kvn/1l-2024,1/4 финала,Третья 1/4 финала,+,+,+,+,+,+
2024,1l-2024,kvn/1l-kvn/1l-2024,1/2 финала,Первая 1/2 финала,+,+,+,+,+,+
2024,1l-2024,kvn/1l-kvn/1l-2024,1/2 финала,Вторая 1/2 финала,+,+,+,+,+,+
2024,1l-2024,kvn/1l-kvn/1l-2024,Финал,Финал,+,+,+,-,-,-
2025,1l-2025,kvn/1l-kvn/1l-2025,1/8 финала,Первая 1/8 финала,+,+,+,+,+,+
2025,1l-2025,kvn/1l-kvn/1l-2025,1/8 финала,Вторая 1/8 финала,+,+,+,+,+,+
2025,1l-2025,kvn/1l-kvn/1l-2025,1/8 финала,Третья 1/8 финала,+,+,+,+,+,+
2025,1l-2025,kvn/1l-kvn/1l-2025,1/4 финала,Первая 1/4 финала,+,+,+,-,+,+
2025,1l-2025,kvn/1l-kvn/1l-2025,1/4 финала,Вторая 1/4 финала,+,+,+,+,+,+
2025,1l-2025,kvn/1l-kvn/1l-2025,1/4 финала,Третья 1/4 финала,+,+,+,+,+,+
2025,1l-2025,kvn/1l-kvn/1l-2025,1/2 финала,Первая 1/2 финала,+,+,+,+,+,+
2025,1l-2025,kvn/1l-kvn/1l-2025,1/2 финала,Вторая 1/2 финала,+,+,+,+,+,+
2025,1l-2025,kvn/1l-kvn/1l-2025,Финал,Финал,+,+,+,+,+,+
